Timestamp,ID(Hex),ID(Dec),Data,Message Name,Decoded Signals
2025-06-07 18:30:28.257,4,4,FD 0F 59 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.257,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.258,B0,176,00 00 00 00 00 00 06 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.259,B0,176,00 00 0C 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.260,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.261,A6,166,FC FF FC FF 00 00 00 00,M166_Current_Info,Error decoding message: 166
2025-06-07 18:30:28.261,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.262,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.263,B0,176,00 00 01 00 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.264,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.265,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.265,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.266,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.267,B0,176,00 00 00 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.268,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.269,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.270,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.271,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.272,B0,176,00 00 FE FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.273,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.274,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.275,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.276,B0,176,00 00 02 00 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.277,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.278,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.279,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.280,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.281,B0,176,00 00 07 00 00 00 06 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.282,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.283,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.284,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.285,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.287,B0,176,00 00 F9 FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.288,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.289,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.290,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.291,B0,176,00 00 02 00 00 00 00 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.292,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.293,A6,166,FE FF 09 00 02 00 00 00,M166_Current_Info,Error decoding message: 166
2025-06-07 18:30:28.294,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.295,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.296,B0,176,00 00 00 00 00 00 01 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.297,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.298,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.299,5,5,A0 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.300,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.301,B0,176,00 00 03 00 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.302,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.302,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.304,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.305,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.306,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.306,B0,176,00 00 FD FF 00 00 01 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.307,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.308,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.309,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.310,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.310,B0,176,00 00 FB FF 00 00 02 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.311,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.312,4,4,FC 0F 59 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.313,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.314,B0,176,00 00 03 00 00 00 01 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.316,3,3,00 00 00 00 00 00 00 00,MC_FAULTS,Error decoding message: 3
2025-06-07 18:30:28.317,B0,176,00 00 00 00 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.318,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.319,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.320,5,5,A1 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.321,B0,176,00 00 03 00 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.322,B0,176,00 00 FE FF 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.323,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.324,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.325,B0,176,00 00 00 00 00 00 03 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.326,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.328,4,4,FC 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.329,5,5,A2 01 00 00 00 06 00 00,Sensors_Info,Error decoding message: 5
2025-06-07 18:30:28.330,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.331,B0,176,00 00 FF FF 00 00 05 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.332,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.334,4,4,FD 0F 58 0A 00 00 00 00,APPS_Info,Error decoding message: 4
2025-06-07 18:30:28.335,6,6,00 00 83 00 53 01 00 00,Internal_States,Error decoding message: 6
2025-06-07 18:30:28.336,B0,176,00 00 FC FF 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.337,B0,176,00 00 08 00 00 00 04 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.338,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
2025-06-07 18:30:28.339,2,2,00 00 00 00 00 00 00 00,ECU_FAULTS,Error decoding message: 2
2025-06-07 18:30:28.340,B0,176,00 00 00 00 00 00 00 00,M176_Fast_Info,Error decoding message: 176
2025-06-07 18:30:28.341,AB,171,00 00 00 00 00 00 00 00,M171_Fault_Codes,Error decoding message: 171
2025-06-07 18:30:28.343,C0,192,00 00 00 00 01 00 00 00,M192_Command_Message,Error decoding message: 192
